,tweet,sentiment,score,location,hashtags
0,"PHOTOS: Director of the Fundraising Committee of the PCC, and Vice Presidential Candidate, Sen. Kashim Shettima, the Lagos State Governor, Babajide Sanwo-Olu unveil the Crowdfunding App for the APC Presidential Campaign 2023 at the Civic Centre, Victoria Island, Lagos.  http",neutral,0.9276247620582581,Bourdillon,BAT2023
1,"Even Peter Obi no fit do shingbaine as president ask me why, him first 4yrs him go repeat the process of trying to stabilize... As Buhari don Stabilized make  start work  ",neutral,0.5322450995445251,"Lagos, Nigeria",BAT2023 RenewedHope2023 GETYOURPVC
2,"day 8. IBEJU LEKKI LG: DATE: WEDNESDAY (14/12/2022) VENUE: SUPPLIER HALL, ELEKO JUNCTION, OPPOSITE TOTAL PETROL STATION, IBEJU LEKKI, LAGOS.   ",neutral,0.8942791819572449,"Lagos, Nigeria",BAT2023 Asiwaju agbadoeconomy
3,"@user May d trip be blessed &amp; stars aligned towards d resounding victory from Feb 25, 2023, for d @officialABAT-@KashimSM  presidency project, on d @user SPV. D Almighty willing &amp; sparing us all, d victory shall usher into 🇳🇬 an era of uncommon economic growth &amp; peace.",positive,0.9393718242645264,,BAT2023
4,"May d trip be blessed &amp; stars aligned towards d resounding victory from Feb 25, 2023, for d @officialABAT-@KashimSM  presidency project, on d @user SPV. D Almighty willing &amp; sparing us all, d victory shall usher into 🇳🇬 an era of uncommon economic growth &amp; peace. http",positive,0.947179913520813,,BAT2023
5,    http,neutral,0.5571970343589783,Making money,BAT2023 Tinubu Asiwaju fela
6,"Nigeria is not for sale, doesn't need a speculator to sell your assets from day one. Nigeria isn't an experimental market, doesn't need a Market to Market Manager(MMM). Nigeria is a project, needs a nation builder who knows what to do from day one and will add value. 🇳🇬  http",neutral,0.5555456280708313,,BAT2023
7,The BAT mandate is the ultimate goal.  http,positive,0.49363163113594055,"Port Harcourt, Nigeria",BAT2023
8,"@user Lord of Moses Lord of Abraham Lord of Jesus Christ and the Lord of Prophet Muhammad (pbu-them all) should please guide Nigerians in my right choice in 2023 Presidential election, Bola Ahmed Tinubu is no-go area. Nigerian deserve better.   ",neutral,0.5826759338378906,United Kingdom Hopeful 🇬🇧.,SayNoToAPC SayNoTo BAT2023
9,Imagine Where You Would Be If You Met Generational Wealth At Home 💭 Build Generational Wealth Through Real Estate Investments              http,neutral,0.5318455696105957,"Lagos, Nigeria",BBNaija WCShowmaxPro BAT2023 Qatar2022 FIFAWorldCup WorldcupQatar2022 doggy portable Chioma hookup ASUU PepsiConfamCapetown Kuda
10,"PHOTOS: Director of the Fundraising Committee of the PCC, and Vice Presidential Candidate, Sen. Kashim Shettima, the Lagos State Governor, Babajide Sanwo-Olu unveil the Crowdfunding App for the APC Presidential Campaign 2023 at the Civic Centre, Victoria Island, Lagos.  http",neutral,0.9276247620582581,"Ibadan, Nigeria",BAT2023
11,"PHOTOS: Director of the Fundraising Committee of the PCC, and Vice Presidential Candidate, Sen. Kashim Shettima, the Lagos State Governor, Babajide Sanwo-Olu unveil the Crowdfunding App for the APC Presidential Campaign 2023 at the Civic Centre, Victoria Island, Lagos.  http",neutral,0.9276247620582581,Nigeria,BAT2023
12, 🇳🇬🙌🏼😍 http,positive,0.9580767750740051,"Accra, Ghana",BAT2023
13,"“After all these, we shall send them one of our spokespersons to debate with him”.--Festus Keyamo After Peter obi has met the stipulated requirements to qualify for a presidential debate, we shall send one of our spokespersons to debate with him.  ",neutral,0.8687261939048767,Nigeria,ShoeDeyGetSize BAT2023
14,God's choice for Nigeria 🇳🇬.   http,positive,0.6393022537231445,worldwide,RenewedHope2023 BAT2023
15,@user Use your brains. People had requested for the same information long before now so they gave Reno the pre-dated copy. Not everything should be about likes and retweets. This is something Reno has learnt and moved forward with. You should do the same. ,neutral,0.6415360569953918,,BAT2023
16,"In case you don't know, the way you feel right now with this PO thing, is the way Boko Haram and bandits feels. I believe with the right motivation, most of you will carry gun and kill people... ... Heaven won't fall, we plenty pass you...",negative,0.66712886095047,Nigeria,BAT2023
