,date,user,source,tweet,location,like_count,retweet_count
0,2022-11-29 23:49:44+00:00,Muhamma32425667,Twitter for Android,"The development of the Nigerian economy depends on the state of the youth which contitutes a significant proportion of the population. My government will identify &amp; support youths with exceptional talents to develop &amp; commercialise their ideas, skills &amp; innovation.#HopeAgain2023 https://t.co/lXKwFmXMra",,0,0
1,2022-11-29 23:35:20+00:00,_BigBoulder,Twitter Web App,"Listen to ""Picking yourself up off the canvas!"" by Little Big Things. ⚓ https://t.co/1kHdkYtYUs 
#mentalhealth #podcast #HopeAgain2023",South Australia,0,1
2,2022-11-29 22:42:43+00:00,SDP_Advocate,Twitter for Android,"Kwara State endorses @HakeemLAWAL01 as the right person to rebuild Kwara land and it from falling.

And for  Nigeria is @Pres_Adebayo  we #HopeAgain2023 https://t.co/Ncsfwt0juS","Kaduna, Nigeria",0,0
3,2022-11-29 22:34:45+00:00,SDP_Advocate,Twitter for Android,@MaryamOlami @Pres_Adebayo #HopeAgain2023,"Kaduna, Nigeria",0,0
4,2022-11-29 21:27:11+00:00,PolvoteOfficial,Twitter for iPhone,"The National Electoral Commission (INEC) says the recent attacks on its facilities won’t stop the conduct of 2023 general election.

#INEC #HopeAgain2023 #Nigeria #Polvote https://t.co/VIs5NiaODy",Nigeria,2,0
5,2022-11-29 20:52:00+00:00,Audrey9539,Twitter Web App,":"")) 
#مهسا_امینی 
#HopeAgain2023",Iran,2,0
6,2022-11-29 20:41:44+00:00,dayorare,Twitter for iPhone,#HopeAgain2023 🤣🤣🤣🤣🤣🤣balabluuuu,Nigeria,1,0
7,2022-11-29 20:40:36+00:00,dayorare,Twitter for iPhone,"How to Get Tinubu Balablu🤣🤣🤣 (easy method)  #HopeAgain2023
Kindly Retweet https://t.co/RYEawxIHQ9",Nigeria,8,2
8,2022-11-29 20:36:53+00:00,Audrey9539,Twitter Web App,"یه روزی میرسه که اون شخصی که ارزوهای متفاوتی با بقیه داره دیگه مجبور به مخفی کردنش نباشه‌.
«دیالوگ»

.

.

.

#Mahsa_Amini 
#life 
#زن_زندگی_آزادی 
#HopeAgain2023 
#aesthetic 
#Text 
#Darkacademia https://t.co/1qz3A6Kse3",Iran,1,0
9,2022-11-29 20:29:06+00:00,BandanabroOne,Twitter Web App,"This Is My Ted Talk on Consciousness. There will always be a Casey Anthony. Spend A Moment Investing In Yourself. Please Stay For The Entire Message. You'll Be Glad You Did. #America #HopeAgain2023 
Mad Zack Radio https://t.co/a18SqZz8NX via @YouTube","Toledo, OH",1,1
10,2022-11-29 19:59:44+00:00,AkiBlomberg,Twitter for iPhone,"Väitetään, että on #hallituskriisi ja #kepu:lla #sdp:llä huonot välit. Ainakin Saarikolla ja Marinilla on nyt hyvät välit eli n. 17000 km.",Helsinki,23,0
11,2022-11-29 19:53:49+00:00,mj_jumai,Twitter for iPhone,This is why we need good men like @Pres_Adebayo someone to reshape the nation to a better way #HopeAgain2023 https://t.co/b4IycOM2Kh,"Seoul, Republic of Korea",51,43
12,2022-11-29 19:52:41+00:00,ValliusMikko,Twitter for iPhone,"Illan @YleAstudio perusteella toivoisin pääministeripuolueelta hieman jämäkämpää kannanottoa tähän Keskustan harjoittamaan sooloiluun ja sekoiluun! 

#sdp #keskusta #hallitus #luonnonsuojelulaki",,0,0
13,2022-11-29 19:45:11+00:00,DH2i,Buffer,"We are a smart high availability clustering and software defined perimeter (SDP) software for Windows, Linux and Containers.
We enable customers to create an IT infrastructure that is “Always-Secure and Always-On.”   https://t.co/ZpyIM5vHwF  #SQLServer #SDP #highavailability https://t.co/WrIKwohdvB","Fort Collins, CO",1,2
14,2022-11-29 19:45:06+00:00,SDP_Advocate,Twitter for Android,"Rivers Choice is @Sen_MagnusAbe 

#HopeAgain2023 https://t.co/AW8jLJ4YgY","Kaduna, Nigeria",19,8
15,2022-11-29 19:10:32+00:00,Juha_Heikkinen,Twitter for Android,"Hallituspuolueiden tarve olla hallituksessa on niin suuri, että ei haittaa vaikka #keskusta kaataa sen oman esityksen. Uudet vaalit eivät toisi hallituspaikkoja. #vihreät eivät lähde vaikka kaikki kansallispuistot kaadettaisiin. Ja @MarinSanna on vain matkoillaan hiljaa. #sdp",Jyväskylä,0,0
16,2022-11-29 19:10:18+00:00,JLMagazine1,Twitter for Android,"Malgre resp #SDP a di se manti,
@radio_reference pèsiste li gen bon
jan enfòmasyon yo te fòse Marjory Michel desan yon vòl #Spirit 
vandredi dènye. Yo mandel kontakte konsila 🇺🇸 paske vizal ta koupe. 
Viza 🇺🇸Nenel Cassy ak André Michel koupe tou. Toujou selon @radio_reference https://t.co/9N0b6jpJ2f",,3,0
17,2022-11-29 18:55:27+00:00,scottcschuler,Twitter for iPhone,#God #peace #HopeAgain2023 https://t.co/NkaTjuY5Ws,,3,1
18,2022-11-29 18:42:22+00:00,elkaiser62,Twitter for Android,#SDP NO ME PARECE CORRECTO TRATAR UNA TEMATICA TAN DELICADA SIN PROFESIONALES AFINES.,San Miguel,0,0
19,2022-11-29 18:39:53+00:00,shalomdfirst,Twitter for iPhone,"We all hope for a better Nigeria. Let’s all support @Pres_Adebayo 
He’s the right man for the position.
#HopeAgain2023 https://t.co/GKYiUsqjb3",,97,81
20,2022-11-29 18:39:15+00:00,Minahbell_,Twitter for Android,"2023 is a deciding year for Nigerians, we must look beyond political affiliation, we must join hands to elect a leader who can solve our collective problems - Prince Adewole Adebayo 
Vote @Pres_Adebayo he is a problem solver.

#HopeAgain2023 https://t.co/FSpECwGyAP",in my world🌎,63,53
21,2022-11-29 18:36:30+00:00,alhajinuell,Twitter for iPhone,"Greater Tomorrow comes with greater responsibility, we have the opportunity once again to be decisive on our collective Leadership Antecedents-Prince Adewole Adebayo 
@Pres_Adebayo

#HopeAgain2023 https://t.co/NFCxBhYR3m",Click the link for my tweets,56,51
