,date,user,source,tweet,location,like_count,retweet_count
0,2022-11-29 23:25:12+00:00,BUKOLA00459341,Twitter for Android,@pdpnewgen @PDPAwareness @MobilePunch @PulseNigeria247 @ARISEtv @channelstv #AtikuOkowa2023 in Ondo-State,"Maryland, USA",0,0
1,2022-11-29 23:07:51+00:00,DrCharlesOdogwu,Twitter for iPhone,#AtikuOkowa2023 #AtikuInOndo,Nigeria,0,0
2,2022-11-29 23:04:29+00:00,DavidOkooza,Twitter for iPhone,"Borno state PDP is doing well.. We will recover Borno come 2023.

#RecoverNigeria with AtikuOkowa https://t.co/YPPg9MpDIM","Blue Earth, MN",2,4
3,2022-11-29 22:57:15+00:00,MikanoLeader,Twitter for Android,"Borno state PDP is doing well.. We will recover Borno come 2023.

#RecoverNigeria with AtikuOkowa https://t.co/LrN20n1ZUb",,59,26
4,2022-11-29 22:38:23+00:00,Adamujadas,Twitter for Android,"Atiku/Okowa is the only best Candidate we have in Nigeria right now. My voter's card and my family's is for Atiku/Okowa insha Allah. Come 2023 vote Wisely. ONDO ATIKU IS COMING 

#AtikuOkowa2023
#AtikuOrganizingForAction https://t.co/9lTLA8Qljq",,2,0
5,2022-11-29 22:36:14+00:00,UcheCornelius94,Twitter for Android,"#AtikuOkowa2023 #AtikuInOndo, the Sunshine State. Follow us on all our social media handles for updates. Come…Let’s #RecoverNigeria Together. https://t.co/FKiDCGzmVm",,0,0
6,2022-11-29 22:32:38+00:00,AbdulrahmanBKD,Twitter for Android,"The man behind the #AtikuPlan is ATIKU ABUBAKAR. He never runs without a well-thought-out strategy in mind. He is always well-prepared. #AtikuCan 
#AtikuOkowa2023 
#AtikuOrganizingForAction https://t.co/nBG4Z26qzg",birnin kudu,25,9
7,2022-11-29 22:24:59+00:00,Okowalition2023,Twitter for Android,"Gov. Okowa is in Asaba making Delta State and Nigeria proud. 

@atiku is somewhere smiling telling  his guys, ""I told you he's a star boy"" 😉 

WE ARE PROUD OF OKOWA!

#ProudDeltans #Okowalition  #AtikuOkowa2023 https://t.co/zQOp5oouq8",NIGERIA,33,23
8,2022-11-29 22:23:57+00:00,Forever_Rayyan,Twitter for iPhone,#AtikuOkowa2023,The People’s House ,0,0
9,2022-11-29 21:57:44+00:00,Jaymie_Ivy,Twitter for Android,"Ondo State welcomes the Unifier and the Presidential Campaign train for the  #RecoverNigeria rally tomorrow November 30th 2022.
It's the Sunshine State's time!!!
As One We Can Get It Done.
#RESETNigeria 
#AtikuOkowa2023 
#AtikuIsComing https://t.co/O3x1X9gsHn","Ado Ekiti, Nigeria",0,0
