,date,user,source,tweet,location,like_count,retweet_count
0,2022-11-29 22:06:43+00:00,Clinorthop,Hootsuite Inc.,"PRP injections did not improve hemophilic knee symptoms, function, and quality of life over 24 months compared with a placebo. Use of #PRP injections is not supported in patients who have hemophilic knee #arthritis

https://t.co/p9Y3UPkTGg https://t.co/ni7Non03uN","Philadelphia, PA",8,2
1,2022-11-29 19:31:01+00:00,WelledenBarry,Canva,"Time to rejuvenate for Christmas WELLEDEN Aesthetics &amp; Beauty .  
call 07983395403

#Lip or #Cheek #Filler, #Microblading, #Brows, #Lashes, #Vampire #Facial, #PRP #hairloss, #Microneedling, #Plasma #fibroblast, #fat #dissolvers, #dermaplaning, #collagen, #vitamin jabs https://t.co/23ohql8lvj","4 Broad street, Barry Cf62 7AA",0,0
2,2022-11-29 19:07:52+00:00,RSMedSpa,Crystal Clear DM SPC,Are you a good candidate for #PRP Joint Injections? Schedule a consultation now! https://t.co/SKyNlxuIWN https://t.co/74ya15RPAv,"Reno, NV",0,0
3,2022-11-29 18:35:14+00:00,SlavaPro2402,Twitter for iPhone,"Song of the day #StandWithUkraine #prp #SlavaUkraini #Spotify #SaveUkraine 
https://t.co/kb6HgXSDyV https://t.co/8xIvqcwP8i",Україна,0,0
4,2022-11-29 16:43:19+00:00,AGORACOM,Agorapulse app,"#SmallCap 60: Chitogenx $CHGX Says Regenerative Medicine Is A $9 BILLION Market Today

🔵 Projected at $125 BILLION within 7 Years

🔵 One of the most dynamic markets around

$CHNXF

#SoftTissue #Smallcaps #PRP #biologics #Pennystocks https://t.co/CkDMn08eaQ",Toronto/Los Angeles/Metaverse,1,1
5,2022-11-29 15:38:09+00:00,PureAndBright,Twitter Web App,"#PRP #growthfactors 💉💊

📞 089-171-8100 (จ-ส 8.30-17.30น)

📝 line ID: @PureAndBright 
กด https://t.co/vwf8AS6VQb
📝 inbox เพจ https://t.co/TJGOLW0eB1

🌐 https://t.co/oWX4Z6ZV6o 

#️⃣ #DrBorisut #PureAndBright #Rejuvenation #แพทย์หญิงบริสุทธิ์ #fyp #medicalclinic #Laserskin https://t.co/NwNzx9NWJ2",https://maps.app.goo.gl/Mi8ke8,0,0
6,2022-11-29 15:22:04+00:00,DrBorisutH,Twitter for iPhone,"#PRP #growthfactors 💉💊

📞 089-171-8100 (จ-ส 8.30-17.30น)

📝 line ID: @PureAndBright 
กด https://t.co/sacWA0Pf65
📝 inbox เพจ https://t.co/OvkO3kMO5O

🌐 https://t.co/O7DZqBMul6 

#️⃣ #DrBorisut #PureAndBright #Rejuvenation #แพทย์หญิงบริสุทธิ์ #fyp #medicalclinic #Laerskin https://t.co/RvMxLAlQDy","MD, PhD / Ig: DrBorisut​",2,2
7,2022-11-29 14:51:10+00:00,Persimmon_inc,Sprout Social,"Industry-leading aesthetic treatments in the comfort and convenience of your own home!✨🏡 https://t.co/GudrgOveKk
#persimmonlife #feelbeautiful #bayarea #sanfrancisco #sacramento #botox #beauty #skin #skincare #aesthetics #antiaging #injectables #chemicalpeel #microneedling #prp https://t.co/wxUdBKSTDZ",San Francisco Bay Area,0,0
8,2022-11-29 14:26:40+00:00,UnionMSoccer,Twitter for iPhone,"🔙 on the trail!

We’re headed to California for the @MLSNEXT Fest! Excited to see some more good soccer this weekend! 🔴⚽️
•
#UnionMSoc #PRP https://t.co/qYmuUujakF","Schenectady, NY",8,0
9,2022-11-29 14:14:20+00:00,ICRC_rw,Twitter Web App,"Through the @ICRC Physical Rehabilitation Programme #PRP, the @ICRC_rw supported @RWBF1 to organize the celebration of International of Persons with Disabilities #IDPD through a wheelchair basketball friendly match. 

Let's celebrate with them and promote inclusive society.",Rwanda,2,0
10,2022-11-29 13:50:41+00:00,tiainstitute_ke,OneUp App,"PRP treatment can help support wound healing in trauma and joint injury. The technique can address male pattern baldness, stimulate the growth of hair transplants and enhance other cosmetic procedures. #prp #botox #skincare #beauty #acne #fillers #hairtransplant #vampirefacial https://t.co/1DB029rqVe","Muthaiga Grove, Muthaiga Road.",0,1
11,2022-11-29 13:00:16+00:00,tiainstitute_ke,Twitter Web App,This group of students get to learn how to prepare and perform PRP treatments.#tiainstitutekenya #prp #botox #skincare #beauty #acne #fillers #hairtransplant #vampirefacial https://t.co/Lhx1iV3fTZ,"Muthaiga Grove, Muthaiga Road.",0,0
12,2022-11-29 12:55:00+00:00,PRP_EDGE,Twitter Web App,Market Evening Update #PRP #Finance #Money #Wealth #News #Advice #Mutual #Funds #Financial #Future #Market #Banking #Account #Fintech https://t.co/nB3FJkhZbG,"Gurgaon, Haryana, India",0,1
13,2022-11-29 12:42:22+00:00,Hayatu2023,Twitter for Android,"To redefine and reshape Kaduna State's local economy, utilize it's internal revenues, and ignite efficiency in our local commerce.
Let's vote the right man!
One man for the job. #2023.Kaduna #PRP 
@hayatu_lawal @Hayatu4gKD2023 @Ibrahim72259676 @AishaMa78021180 @halimaadams08 https://t.co/Vx9atlwdHC",Nigeria,6,3
