,tweet,sentiment,score,location,hashtags
0,@user @user @user @user @user @user  in Ondo-State,neutral,0.8640717267990112,"Maryland, USA",AtikuOkowa2023
1, ,neutral,0.5058801770210266,Nigeria,AtikuOkowa2023 AtikuInOndo
2,Borno state PDP is doing well.. We will recover Borno come 2023.  with AtikuOkowa http,positive,0.8863380551338196,"Blue Earth, MN",RecoverNigeria
3,Borno state PDP is doing well.. We will recover Borno come 2023.  with AtikuOkowa http,positive,0.8863380551338196,,RecoverNigeria
4,Atiku/Okowa is the only best Candidate we have in Nigeria right now. My voter's card and my family's is for Atiku/Okowa insha Allah. Come 2023 vote Wisely. ONDO ATIKU IS COMING   http,positive,0.9243702292442322,,AtikuOkowa2023 AtikuOrganizingForAction
5," , the Sunshine State. Follow us on all our social media handles for updates. Come…Let’s  Together. http",positive,0.4994148313999176,,AtikuOkowa2023 AtikuInOndo RecoverNigeria
6,The man behind the  is ATIKU ABUBAKAR. He never runs without a well-thought-out strategy in mind. He is always well-prepared.    http,positive,0.64117431640625,birnin kudu,AtikuPlan AtikuCan AtikuOkowa2023 AtikuOrganizingForAction
7,"Gov. Okowa is in Asaba making Delta State and Nigeria proud. @user is somewhere smiling telling his guys, ""I told you he's a star boy"" 😉 WE ARE PROUD OF OKOWA!    http",positive,0.9691594243049622,NIGERIA,ProudDeltans Okowalition AtikuOkowa2023
8,,neutral,0.45127245783805847,The People’s House ,AtikuOkowa2023
9,Ondo State welcomes the Unifier and the Presidential Campaign train for the  rally tomorrow November 30th 2022. It's the Sunshine State's time!!! As One We Can Get It Done.    http,positive,0.9554239511489868,"Ado Ekiti, Nigeria",RecoverNigeria RESETNigeria AtikuOkowa2023 AtikuIsComing
10,@user Atikuokowa❤️🇭🇺. Insha Allah @user ✌🏻,positive,0.9113257527351379,"Gombe, Nigeria",
11,His Excellency tomorrow live Ondo   http,neutral,0.8434925079345703,,AtikuOrganizingForAction AtikuOkowa2023
12,"@user @user @user @user Till today Jonathan hasn't done anything good for PDP as a party worth remembering. However, we have passed that stage now, we're starting again in 2023 so help us God Amen! ",neutral,0.4871179759502411,Nigeria,AtikuOkowa2023
13,"The election next year will be won by the political party and candidate who can unify the country and recover the economy from the comatose that the APC has led us into. That party is the PDP I, urge Nigerians to vote for the PDP   http",positive,0.6443921327590942,,Okowalition AtikuOkowa2023
14," , the Sunshine State. Follow us on all our social media handles for updates. Come…Let’s  Together. http",positive,0.4994148313999176,"Abuja, Nigeria.",AtikuOkowa2023 AtikuInOndo RecoverNigeria
