,tweet,sentiment,score,location,hashtags
0,"@user @user @user @user @user ....he invested so much in these sectors.... I've been in Lagos for 29yrs, why is the mainland still as it was then and now? With little or no development but massive development has been going on the island? I await your response.... Like I said, I want to engage you.",neutral,0.5491629242897034,"Lagos, Nigeria",
1,@user @user @user,neutral,0.6106858253479004,,
2,@user God bless you for taking time to spell these out.   ,positive,0.8930495381355286,"London, England",peterisbetter PeterObi4President2023 ObiDatti2023
3,@user @user AMEN. Happy birthday sir. Alhaji Atiku Abubakar.,positive,0.9735875129699707,,
4,@user @user @user Nwoke okpontu...,neutral,0.8013045191764832,ana igbo,
5,"@user @user @user @user @user ... Lagos Island only. Please bro, I also want to know why the so called health in Lagos is been disregarded by himself. Also, why do we have high rates of deaths in the government hospitals in Lagos? Why are schools in Lagos not topping the charts when it comes to WAEC since...",negative,0.8147448301315308,"Lagos, Nigeria",
6,@user @user @user @user Please kindly mention the k!llings carried out by IPOB that they told you of?,neutral,0.8491860628128052,"Lagos, Nigeria",
7,@user @user @user @user @user I just tire for people bro,negative,0.8014100790023804,"Port Harcourt, Nigeria",
8,"My deepest appreciation goes to @user logistics team, you have made the  movement possible.",positive,0.9818341135978699,,Obidients
9,"@user My president, a man with a high level of sympathy. May God give you the wisdom and strength to rule this country for the betterment of every individual. May the soul of Victoria Chintex rest in perfect peace.",positive,0.8059837818145752,Billionaire’s quaters,
10,"@user @user @user @user @user @user @user @user They're mindful of that my dear, that you saw him in photo ops with his Obidients fans does not mean he is alone, his details &amp; entourage will not poss together with him to take pictures with fans.",neutral,0.8007797002792358,,
11,@user @user,neutral,0.5917794704437256,,
12,@user @user @user @user @user @user @user Why are you scared? Why are you bothered.,negative,0.7892286777496338,CALABAR,
13,@user @user @user How do you expect someone who dresses like a prostitute to know better?,negative,0.8840009570121765,,
14,@user @user @user @user @user @user @user @user @user @user @user @user May her soul rest in peace😭😭😭,neutral,0.5194560885429382,Sverige,
15,@user Oh what a tragic loss May her soul Rest In Peace and may her killers know no peace until they're destroyed.,negative,0.8365497589111328,Everywhere,
16,"If not for politics, who is @user to even mention the name of @user in vain ? Itiboribo SAN.",negative,0.5965707302093506,,
17,@user @user Why are they worried ? He will not receive any vote and he has no structure. There are other igbo contestants why are they asking only Obi to drop his ambition? 🤣🤣🤣 Tinubu dey fear? Atiku definitely can't be using The Nation to pass his message.,negative,0.7528439164161682,,
18,"@user @user @user @user @user I want to engage you. All you have listed here screams only Lagos Island. What about Agege, Badagry, ajegunle, Apapa, Ikorodu, ijesha, isolo, ejigbo, and other locations on the mainland. Are they not part of Lagos? Please also tell me why his development is only focused on....",neutral,0.659355878829956,"Lagos, Nigeria",
19,"@user What a big loss, may her soul rest in the lord",negative,0.4555685520172119,,
20,"@user This is a sad new, may her soul rest in peace. Amen",neutral,0.4881966710090637,,
21,@user Wow! hell roof high you do this one !!!,positive,0.7980362772941589,,
22,@user @user Ezi,neutral,0.6695616841316223,Lagos ,
23,"@user @user @user @user @user As them post I go post... Do you even know what the pandora paper entails? Have you done Ur research or even taken time to read through the documentation? Because people talk, u feel u must talk too without researching... Know things for yourself bro",neutral,0.7024335265159607,,
24,"@user @user The day OBI said he will not condemn UPON, was the day his campaign LOST it. Before then it was a low orobability, but since then I am fully 100% sure he is a big JOKE",negative,0.8607626557350159,,
25,@user Shut up u have nothing to offer,negative,0.799114465713501,,
26,"I stand with GOD Almighty in heaven to do his will and purpose for in life, I stand here on earth in my beloved country with PETER OBI for President to Rebuild, Stabilize, Restructure a better place.    ",positive,0.9062053561210632,"Jos, Nigeria",2023Elections NigeriaDecides2023 NigeriaArmyaidingTerrorism ObiDatti2023
27,@user U didnt even know she existed someone that can visit a state and forget the gubernatorial candidate,negative,0.5518686771392822,,
28,@user @user Continue we are watching your fake news where it would lead you too,negative,0.7888786792755127,,
29,"@user You are always shocked by the killings in the North, the killings happening in Southeast doesn't shock you. Its ok, you can continue in your hypocrisy.",negative,0.7295663952827454,"Lagos, Nigeria",
30,@user @user @user @user @user @user @user @user @user @user @user @user please send a DM to @user for materials,neutral,0.8999763131141663,"Dunstable, England",
