,date,user,source,tweet,location,like_count,retweet_count
0,2022-11-29 23:59:52+00:00,teamNAWTI,Twitter for Android,"@agoyi44dogzy @oluwatonianu @_mustapher_ @TheNationNews @PeterObi ....he invested so much in these sectors....
I've been in Lagos for 29yrs, why is the mainland still as it was then and now? With little or no development but massive development has been going on the island?

I await your response.... Like I said, I want to engage you.","Lagos, Nigeria",0,0
1,2022-11-29 23:59:51+00:00,Keke01728263,Twitter for Android,@_weyimi @Lexyzdoo @PeterObi.,,0,0
2,2022-11-29 23:59:17+00:00,GraceOlufunmil2,Twitter for iPhone,"@sweetsixtien God bless you for taking time to spell these out. #peterisbetter
#PeterObi4President2023 
#ObiDatti2023","London, England",0,0
3,2022-11-29 23:59:11+00:00,JosephAkadi,Twitter for Android,@PeterObi @atiku AMEN. Happy birthday sir. Alhaji Atiku Abubakar.,,0,0
4,2022-11-29 23:58:57+00:00,Heynwaebube,Twitter for Android,@realFFK @PeterObi @officialABAT Nwoke okpontu...,ana igbo,0,0
5,2022-11-29 23:58:16+00:00,teamNAWTI,Twitter for Android,"@agoyi44dogzy @oluwatonianu @_mustapher_ @TheNationNews @PeterObi ... Lagos Island only.
Please bro, I also want to know why the so called health in Lagos is been disregarded by himself. 
Also, why do we have high rates of deaths in the government hospitals in Lagos?
Why are schools in Lagos not topping the charts when it comes to WAEC since...","Lagos, Nigeria",2,0
6,2022-11-29 23:58:10+00:00,ebby_jama,Twitter for iPhone,@ismaili22088266 @blesynodion @De_Moshood @PeterObi Please kindly mention the k!llings carried out by IPOB that they told you of?,"Lagos, Nigeria",0,0
7,2022-11-29 23:58:03+00:00,IbifaaDonpedro,Twitter for iPhone,@OlukayodeNifem2 @AlphaNadis @KDammyflex @OKOSISI_NA_OMOR @PeterObi I just tire for people bro,"Port Harcourt, Nigeria",0,0
8,2022-11-29 23:57:57+00:00,Captain_hayze,Twitter for iPhone,"My deepest appreciation goes to @PeterObi’s logistics  team, you have made the #Obidients movement possible.",,1,0
9,2022-11-29 23:57:48+00:00,pearlddiva,Twitter for iPhone,"@PeterObi My president, a man with a high level of sympathy. May God give you the wisdom and strength to rule this country for the betterment of every individual. May the soul of Victoria Chintex rest in perfect peace.",Billionaire’s quaters,1,0
10,2022-11-29 23:57:47+00:00,Deus_Ugwoke,Twitter for Android,"@Derek_fisher02 @OkoyeCardinal @PeterObi @FS_Yusuf_ @chude__ @Morris_Monye @AishaYesufu @YarKafanchan They're mindful of that my dear, that you saw him in photo ops with his Obidients fans does not mean he is alone, his details &amp; entourage will not poss together with him to take pictures with fans.",,19,0
11,2022-11-29 23:57:42+00:00,VimoFy,Twitter for iPhone,@_weyimi @PeterObi,,0,0
12,2022-11-29 23:57:42+00:00,GENERALKEN01,Twitter for Android,@Dmj7273Raheem @NgLabour @PeterObi @YunusaTanko @aburechambers @Kennedy4Aha @Qdpaper2 Why are you scared? Why are you bothered.,CALABAR,0,0
