,date,user,source,tweet,location,like_count,retweet_count
0,2022-11-29 23:50:47+00:00,Omo_Oye2,Twitter for iPhone,"PHOTOS: Director of the Fundraising Committee of the PCC, and Vice Presidential Candidate, Sen. Kashim Shettima, the Lagos State Governor, Babajide Sanwo-Olu unveil the Crowdfunding App for the APC Presidential Campaign 2023 at the Civic Centre, Victoria Island, Lagos.
#BAT2023 https://t.co/IrbZjtlLxB",Bourdillon,1,1
1,2022-11-29 20:14:56+00:00,KunleGbolu,Twitter for Android,"Even Peter Obi no fit do shingbaine as president ask me why, him first 4yrs him go repeat the process of trying to  stabilize... As Buhari don Stabilized make #BAT2023 start work #RenewedHope2023 #GETYOURPVC","Lagos, Nigeria",0,0
2,2022-11-29 20:03:39+00:00,akomscopy,Twitter for Android,"day 8. 
IBEJU LEKKI LG:
   DATE: WEDNESDAY (14/12/2022)
 VENUE: SUPPLIER HALL, ELEKO JUNCTION, OPPOSITE TOTAL PETROL STATION,  IBEJU LEKKI, LAGOS.

#BAT2023 
#Asiwaju 
#agbadoeconomy","Lagos, Nigeria",5,2
3,2022-11-29 19:38:11+00:00,duwdu,Twitter for Android,"@GwarzoIlyasu May d trip be blessed &amp; stars aligned towards d resounding victory from Feb 25, 2023, for d @officialABAT-@KashimSM #BAT2023 presidency project, on d @OfficialAPCNg SPV.
D Almighty willing &amp; sparing us all, d victory shall usher into 🇳🇬 an era of uncommon economic growth &amp; peace.",,2,0
4,2022-11-29 19:38:01+00:00,duwdu,Twitter for Android,"May d trip be blessed &amp; stars aligned towards d resounding victory from Feb 25, 2023, for d @officialABAT-@KashimSM #BAT2023 presidency project, on d @OfficialAPCNg SPV.
D Almighty willing &amp; sparing us all, d victory shall usher into 🇳🇬 an era of uncommon economic growth &amp; peace. https://t.co/FFwZqHH9lz",,1,0
5,2022-11-29 18:50:56+00:00,SANTANALAVISH,Twitter for iPhone,#BAT2023 #Tinubu #Asiwaju #fela https://t.co/QG7yeQHW6R,Making money,0,0
6,2022-11-29 18:20:58+00:00,cocastic4,Twitter for Android,"Nigeria is not for sale, doesn't need a speculator to sell your assets from day one. Nigeria isn't an experimental market, doesn't need a Market to Market Manager(MMM). Nigeria is a project, needs a nation builder who knows what to do from day one and will add value. 🇳🇬 #BAT2023 https://t.co/xKzb0XLc4i",,23,9
7,2022-11-29 18:18:14+00:00,Polymath_16,Twitter for Android,"The BAT mandate is the ultimate goal.

#BAT2023 https://t.co/gGnFrBNkvs","Port Harcourt, Nigeria",0,0
8,2022-11-29 18:15:09+00:00,HonDistinguish,Twitter for Android,"@Oluomoofderby Lord of Moses
Lord of Abraham
Lord of Jesus Christ and the Lord of Prophet Muhammad (pbu-them all) should please guide Nigerians in my right choice in 2023 Presidential election, Bola Ahmed Tinubu is no-go area. Nigerian deserve better. #SayNoToAPC #SayNoTo #BAT2023",United Kingdom Hopeful 🇬🇧.,2,0
9,2022-11-29 17:27:35+00:00,IbrahimObileye,Twitter for iPhone,"Imagine Where You Would Be If You Met Generational Wealth At Home 💭 

Build Generational Wealth Through Real Estate Investments 

#BBNaija  #WCShowmaxPro #BAT2023 #Qatar2022  #FIFAWorldCup      #WorldcupQatar2022 #doggy #portable #Chioma #hookup #ASUU  #PepsiConfamCapetown #Kuda https://t.co/bxjua2zK1R","Lagos, Nigeria",5,4
10,2022-11-29 16:42:04+00:00,adigun_sukoboy,Twitter for Android,"PHOTOS: Director of the Fundraising Committee of the PCC, and Vice Presidential Candidate, Sen. Kashim Shettima, the Lagos State Governor, Babajide Sanwo-Olu unveil the Crowdfunding App for the APC Presidential Campaign 2023 at the Civic Centre, Victoria Island, Lagos.
#BAT2023 https://t.co/SZh7Dglh8l","Ibadan, Nigeria",4,1
11,2022-11-29 16:36:05+00:00,mrlurvy,Twitter for iPhone,"PHOTOS: Director of the Fundraising Committee of the PCC, and Vice Presidential Candidate, Sen. Kashim Shettima, the Lagos State Governor, Babajide Sanwo-Olu unveil the Crowdfunding App for the APC Presidential Campaign 2023 at the Civic Centre, Victoria Island, Lagos.
#BAT2023 https://t.co/YOvzrIT3P0",Nigeria,231,71
12,2022-11-29 16:07:27+00:00,jeffpenberton__,Twitter for iPhone,#BAT2023 🇳🇬🙌🏼😍 https://t.co/Zv8PREm0fy,"Accra, Ghana",0,0
13,2022-11-29 16:00:41+00:00,ChineduOgbunyi1,Twitter for Android,"“After all these, we shall send them one of our spokespersons to debate with him”.--Festus Keyamo

After Peter obi has met the stipulated requirements to qualify for a presidential debate, we shall send one of our spokespersons to debate with him.
 
#ShoeDeyGetSize
#BAT2023",Nigeria,117,26
14,2022-11-29 15:48:04+00:00,asiwaju_wa,Twitter for Android,"God's choice for Nigeria 🇳🇬.

#RenewedHope2023 #BAT2023 https://t.co/AhB6uG14cz",worldwide,14,5
15,2022-11-29 14:26:42+00:00,EricEsoimeme,Twitter for Android,@ruffydfire Use your brains. People had requested for the same information long before now so they gave Reno the pre-dated copy. Not everything should be about likes and retweets. This is something Reno has learnt and moved forward with. You should do the same. #BAT2023,,0,0
16,2022-11-29 14:10:14+00:00,yomighty0007,Twitter for Android,"In case you don't know, the way you feel right now with this PO thing, is the way Boko Haram and bandits feels.
I believe with the right motivation, most of you will carry gun and kill people...
#BAT2023...
Heaven won't fall, we plenty pass you...",Nigeria,0,0
17,2022-11-29 13:52:27+00:00,Bizalotime,Twitter for iPhone,"Asiwaju leads other candidates follows. 

Atiku is meeting with business executives in Lagos, weeks after Asiwaju had met with business leaders in different zones of the country. 

Asiwaju way ahead by wide margin. 

#BAT2023 @officialABAT ✅","Lagos, Nigeria",1,0
18,2022-11-29 12:56:46+00:00,ABATBabes,Twitter for iPhone,"For those asking of the link for the Fund Raising in Support of TINUBU/SHETTIMA 2023

https://t.co/yHg1Zhv662

#BATBABES 
#BAT2023 
#TINUBU2023 

@officialABAT",Nigeria ,0,0
19,2022-11-29 12:46:58+00:00,chukwumamiche15,Twitter for Android,#APC #bat2023 #NigeriaDecides2023 why u will not vote apc https://t.co/3WjM5kQKdn,,0,0
20,2022-11-29 12:25:54+00:00,Dancowest,Twitter for Android,BolaTinubu's running mate Senator Shettima speaking at the ongoing Fund Raising Event in Lagos https://t.co/eJ8xfx8Aqj,Nigeria,7,1
21,2022-11-29 12:19:13+00:00,MallamPelliks,Twitter for Android,"@officialABAT making a case for not allowing old a&amp; geriatric people to occupy important positions in @NigeriaGov parastatals. It's now a matter of ""looking glass self"" like sociologists will say ! #BAT2023 #ObiDatti2023 @atiku @PeterObi @SavvyRinu @AishaYesufu @AbdulMahmud01 https://t.co/4Pwd4dUGnU",Abuja | SaoPaulo,0,0
22,2022-11-29 12:13:48+00:00,Mr_JAGs,Twitter for iPhone,"TRANSPARENT Fund Raising for the Support of TINUBU/SHETTIMA 2023 …. As the Donation drops .. the app displays the name and figure of the donor and also displays the updated Total Sum real time. 

Some Young people set up this model. 🔥

#BAT2023 
#TINUBU2023 

@officialABAT https://t.co/yWftP4JsNz","Lagos, Nigeria",1176,515
23,2022-11-29 12:06:36+00:00,De_Moshood,Twitter for Android,"PYO, Sanwo, Akeem okunola, Sunday Dare and many all drank from BAT wisdom. Leader wo letunni to dara to bayii? #BAT2023 #BATKSM2023",Africa ,0,0
24,2022-11-29 12:06:35+00:00,De_Moshood,Twitter for Android,"Chief Ambrose Ali, Uncle Bọla Ige, Baba Ajasin, baba Jakande all drank from Awos pool of wisdom. They knew him as their leader. Though some betrayed him, But he picked best brains for politics. See daddy Asiwaju Bọla Ahmed Tinubu, Muiz banire, Fashola, #bat2023 #BATKSM2023 https://t.co/th1Typnbsd",Africa ,2,1
25,2022-11-29 11:41:15+00:00,Mrr_Essy,Twitter for Android,"APC Vice-Presidential Candidate, Senator @KashimSM just arrived Civic Centre - VI, Lagos for the Unveiling of the Crowd Funding app for the All Progressive Congress, Presidential Campaign 2023.

#RenewedHope2023 
#TinubuShettima
#BAT2023 https://t.co/DBDi8bvi0Q",Nigeria,0,0
26,2022-11-29 11:27:42+00:00,truecitizeng,FS Poster 3,"Bola Tinubu denies relocating Nigeria's capital to Lagos

https://t.co/amwl3LbJ0D

 #BolaTinubu #Tinubu 
https://t.co/amwl3LbJ0D",Lagos,0,0
27,2022-11-29 10:39:04+00:00,EleluAyoola,Twitter for Android,"I'm proudly an APC supporter. 

#Bat2023 https://t.co/3ehXnFOhHo",,72,19
28,2022-11-29 10:37:43+00:00,TahirBashirYus2,Twitter for Android,@Insidearewa Am a product of #APC but Ganduje has kill APC and is still working to kill it again #BAT2023,Nigeria,0,0
29,2022-11-29 10:25:02+00:00,Baticonline,Twitter for Android,"“Tinubu is the builder of the modern Lagos we are all enjoying today. 

For implementing his vision through character and tenacity, and pushing his ideas to what we can physically see, our candidate is the best choice for the president.” ~ Babajide Sanwoolu 

#SanwoAgain #BAT2023 https://t.co/2uGwGJHviw","Lagos, Nigeria",0,1
30,2022-11-29 10:02:05+00:00,yomighty0007,Twitter for Android,"Honestly, you think #BAT is going to aso rock to destroy Nigeria?
Let me tell you that he is going there to put in place a legacy that we all would be proud of. And he is better prepared than anybody else in this game through empowering people believes in the same cause.
#BAT2023",Nigeria,0,0
31,2022-11-29 09:36:16+00:00,RabiuAHD,Twitter for Android,"The forerunners in the #BAT2023 campaign are a rapacious lot who chose to be silent &amp; ignore the devastations of their people, especially the Far Up Country Progressive Governors whose people are victims of armed banditry, impoverishment &amp; starvation. Do we feed from your crumbs?","Kaduna, Nigeria",2,0
32,2022-11-29 09:27:51+00:00,Mayordavid_9,Twitter for iPhone,"KCEE limpopo master is fully BATIFIED and ready to buga anyone about it. 

#BAT2023 

Cc: @Qdpaper2 @Olaide72764441 @ibekemed https://t.co/KSPBm76bbH",,11,5
33,2022-11-29 09:15:19+00:00,tosino52,Twitter for Android,"“Tinubu is the builder of the modern Lagos we are all enjoying today. 

For implementing his vision through character and tenacity, and pushing his ideas to what we can physically see, our candidate is the best choice for the president” - Babajide Sanwoolu 

#SanwoAgain #BAT2023 https://t.co/KliZwjWhzg","Abuja, Nigeria",29,21
34,2022-11-29 08:17:09+00:00,QueenAbeeke,Twitter for iPhone,"“Tinubu is the builder of the modern Lagos we are all enjoying today. 

For implementing his vision through character and tenacity, and pushing his ideas to what we can physically see, our candidate is the best choice for the president.” ~ Babajide Sanwoolu 

#SanwoAgain #BAT2023 https://t.co/UJOa8S2cqK","Lagos, Nigeria",52,32
35,2022-11-29 07:57:57+00:00,AlwaysJayjam,Twitter for Android,"“Tinubu is the builder of the modern Lagos we are all enjoying today. 

For implementing his vision through character and tenacity, and pushing his ideas to what we can physically see, our candidate is the best choice for the president.” ~ Babajide Sanwoolu 

#SanwoAgain #BAT2023 https://t.co/lThqScWhBB","Ondo, Nigeria",27,11
36,2022-11-29 07:55:38+00:00,Tinubufrontier,Twitter for iPhone,"“Tinubu is the builder of the modern Lagos we are all enjoying today. 
For implementing his vision through character &amp; tenacity,and pushing his ideas to what we can physically see,our candidate is the best choice for the president.” ~Gov Sanwoolu
#SanwoAgain #BAT2023 #RenewedHope https://t.co/fT4Y5NjQBC",🌍 ,9,7
37,2022-11-29 06:28:22+00:00,IbrahimObileye,Twitter for iPhone,"FOR SALE🏠
5 Bedroom Fully Detached Duplex With Swimming Pool,Gym,Cinema &amp; Bq

💰N490million

📍Lekki Phase 1, Lekki Lagos

#BBNaija  #WCShowmaxPro #BAT2023 #Qatar2022   #FIFAWorldCup     #WorldcupQatar2022 #doggy #portable #Chioma #hookup #DontKillSoftDrinks #PepsiConfamCapetown https://t.co/cFIX3nchEH","Lagos, Nigeria",9,6
38,2022-11-29 04:11:11+00:00,jollylolly27,Twitter for Android,So true. #BAT2023 #CITYBOY2023 #BATKASH2023 #BATKSM2023 #BATSHET2023 https://t.co/LMsOujYnDq,Lagos,1,0
39,2022-11-29 03:49:55+00:00,Chibuzordavidew,Twitter for Android,"Nigeria now have the choice of a true democrat to make, If ever the desire for a conscious and people oriented leadership is required, Tinubu/ Shetima is the answer.
°
°
°
#CyberMonday #Kuda
#Oyetola #BAT2023 #FIFAWorldCup #NigeriaDecides2023 https://t.co/Xe0YWVlRrF",,37,24
40,2022-11-29 01:02:22+00:00,dejyadehun,Twitter for Android,"@edwin48838522 @SisterLaycon @ruffydfire Stop this na
Come on
Don't give in to despair
#BAT2023 
#OURONLYHOPE","Lagos, Nigeria",0,0
41,2022-11-29 00:27:08+00:00,YOURFATHER9O,Twitter for Android,"In 2014 BolaTinubu lead  APCcampaign promising nigeria that your 4yrs in d schl wl be 4yrs, but ASUU were on strike for several months                              #1 to $1 is now #700                  fuel 87 to 65 is now 250-260 seriousgovt fix power 6mths power grid collapsed",Nigeria,0,1
42,2022-11-29 00:24:34+00:00,dejyadehun,Twitter for Android,"Unapologetically #BATIFIED 
WE WOULD GET MAD WITH YOU A BIT JUST TO MAKE YOU KNOW THE TRUTH
GOOD GOVERNANCE WOULD SETTLE YOU ALL
#BAT2023 ♾️
#RENEWEDHOPE https://t.co/fTiv4csIBA","Lagos, Nigeria",0,0
43,2022-11-29 00:20:25+00:00,dejyadehun,Twitter for Android,"@weezy_dada @Endeedee2011 @ruffydfire I got no concern with this government, don't be unfortunate
#BAT2023 
#OURONLYHOPE 
#RENEWEDHOPE","Lagos, Nigeria",0,0
44,2022-11-29 00:07:54+00:00,dejyadehun,Twitter for Android,"@Kent16794440 @MackLeak @DadaAmida @Rexcornel02 @ruffydfire Good governance would settle your miserable acts
Wait for it
#BAT2023 
#RenewedHope","Lagos, Nigeria",0,0
45,2022-11-28 22:23:58+00:00,dejyadehun,Twitter for Android,"@akanni_julius @SimonOgbonna3 @ruffydfire #BAT2023 
#OURONLYHOPE","Lagos, Nigeria",0,0
46,2022-11-28 22:03:56+00:00,Nationainsight,Revive Social App,"As the 2023 general elections approaches, Muslims faithful across Oyo State will on Saturday, 3rd of December, https://t.co/13gQVHdAKw #akanran #bolatinubu #drsheikhamadalfulanny","Ibadan, Nigeria",0,0
47,2022-11-28 21:25:42+00:00,BishopOnPoints,Twitter for Android,"If truly Peter Obi cares about our economy, he mustn't become president to fix that. 

Asiwaju Bola Ahmed Tinubu can appoint him as finance minister or cbn governor or whatever. He should just drop his hypocritical ego.

#BAT2023 
#BATKSM2023",Africa Capital,1,0
48,2022-11-28 21:20:19+00:00,BishopOnPoints,Twitter for Android,"A choking reminder: The best Peter Obi can get come 2023 is ministerial appointment. 

He better grabs it with his two hands 👐 

#BAT2023",Africa Capital,2,1
49,2022-11-28 20:59:35+00:00,dejyadehun,Twitter for Android,"@ruffydfire I see this is a tribal way...99% Igbo running around on replies, we will accommodate you all in the next administration
No matter how difficult you all claim, good governance will settle you all
#BAT2023","Lagos, Nigeria",10,1
50,2022-11-28 20:47:16+00:00,dejyadehun,Twitter for Android,"@Repairs @AmeyiaJ @ruffydfire Help yourself and see the light beyond just one tweet
#BAT2023 
#OURONLYHOPE","Lagos, Nigeria",0,0
51,2022-11-28 20:43:06+00:00,dejyadehun,Twitter for Android,"@ruffydfire YOU ALL WOULD BE DEAD ON HERE BY FEBRUARY... MANY ARE RUNNING CAT FISH ACCOUNTS, OTHERS ON DEAD IDEOLOGIES
GULLIBLE LOTS
#BAT2023
#OURONLYHOPE","Lagos, Nigeria",0,0
